Text,Cost
	[Passive] | Stun Powder | Whenever you Attack and deal 3 or less damage: You may spend {Gem:R} to stun your target.,{Gold:2}
[Passive] |Fragile Pendant|You may use this when you activate an Action Card to give it Slot Level+2 for that use. Cannot exceed Slot Level 5. Fragile (Item is returned to reserve after each use.),{Gold:2}
[Passive] |Ankh of Reincarnation|The next time you would die instead your health is 5 and this item is destroyed.,{Gold:5}
[Passive] |Aura of Decay| After a Player Attacks you: Inflict Weak and Feeble. :N When you end your turn adjacent to an enemy: inflict Weak OR Feeble.,{Gold:6}
[Passive] |Light Weight Pack| When you activate the Use action you may move 1 first.,{Gold:3}
[Passive] |Whetstone| +1 Melee Attack and +1 Ranged Attack,{Gold:4}
[Passive] |Blunt Instrument| +2 Melee Attack. -1 Ranged Attack. :N When you roll 1 or more {Dice:!} while attacking: you may inflict Daze.,{Gold:5}
[Upgrades Ranged Attack/Trade] |Explosive Arrows| +1 Ranged Attack. :N When you roll one or more {Dice:!} you may ignore all {Dice:Miss} this roll. :N You may spend {Gem:R} to inflict 2 additional damage to your target and all adjacent targets.,{Gold:8;Gem:R}
[Passive] |Saltpeter|Your damage dealing consumeable items deal +2.,{Gold:4}
[Upgrades Ranged Attack/Trade] |Strongbow| +1 Ranged Attack. +1 Range. :N When you use this action to roll one or more {Dice:!} and no {Dice:Miss} you may spend {Gem:R} to inflict Stun.,{Gold:5}
[Passive] |Toxic Oil|+1 Melee Attack :N Inflict {Dice:!} Poison to your target when you roll dice to attack.,{Gold:6}
[Upgrades Attack/Prepare] |Flaming Sword| +1 Melee Attack :N When you roll one or more {Dice:!} while Melee Attacking you may inflict Burn.,{Gold:4}
[Passive] |Scavenging|+1 Discover and +1 Use.,{Gold:6}
[Passive] |Acrobatics| You may use any Slot Level 4+ Action Card as though it was any of your other Action Cards. If you do: Treat it as Slot Level 2. (This does benefit from +1 Action effects.),{Gold:4}
[Passive] |Vampire Fangs|+1 Melee Attack. :N When you roll {Dice:!} you may spend up to 2 to heal 1 for each.,{Gold:5}
[Upgrades Move] |Running Shoes| +2 Move. Mountains cost you 3 movement points to step onto. (Instead of 2.),{Gold:2}
[Passive] |Sniper Sight| +2 Ranged Attack. -1 Melee Attack. :N You may reroll up to 2 dice when you Ranged Attack. (This can reroll the same die twice.),{Gold:6}
[Passive] |Heavy Club| +1 Melee Attack. :N When you roll {Dice:!} while attacking you may spend them as Move controlling your target. They must be further away from you after each move. (Follow Terrain rules.),{Gold:5}
[Passive] |Backpack|+1 Use. :N May carry two extra Consumable items. (Capacity increased from 3 to 5.),{Gold:3}
[Passive] |Bag of Holding|When you roll two or more {Dice:!} in a single roll: You may draw a Consumable item. May carry two extra Consumable items. (Capacity increased from 3 to 5.),{Gold:6;Gem:R}
[Passive] |Enchanted Weapons| Treat all {Dice:Miss-Crit} as {Dice:!},{Gold:4;Gem:R}
[Upgrades Move] |Wings| You may ignore all terrain. (This allows you to walk on Water\, traverse Mountains freely\, and take no damage from Lava.),{Gold:3}
[Passive] |Kevlar Armor| When you are about to take 5 or more damage from a single source: You get +2 Armor until end of turn. (You may roll these dice now even if you already rolled Armor.) Can only activate once per turn.,{Gold:6}
[Passive] |Absorbing Armor| +1 Armor. :N When you roll one or more {Dice:!} while defending you may Heal 1 for each.,{Gold:5}
[Passive] | Optimized Magic | Your Slot Level 4 is treated as Slot Level 5.,{Gold:7}
[Passive] | Mirror Force | Deal X-1 damage to an enemy when they Attacks you. X is equal to your current Move action card Slot Level.,{Gold:9}
[Passive] | Rage Aura | Once per roll turn a {Dice:Miss} into {Dice:Crit},{Gold:4;Gem:R}
[Passive] | Hover Boots | +1 Armor. :N You may ignore all terrain. (This allows you to walk on Water\,traverse Mountains freely\,and take no damage from Lava.),{Gold:9}
[Upgrades Discover/Use] |Robotic Arm| When you take the Use action you may repeat it once at the same Slot Level.,{Gold:9}
[Upgrades Melee Attack/Prepare] |Glass Spear| Stun the target of your Melee Attack. +2 Slot Level if used in Slot Level 4. Fragile (Item is returned to reserve after each use.),{Gold:2}
[Upgrades Discover/Use] |Bottomless Satchel| At the start of your turn: Draw a Consumable card.,{Gold:8;Gem:R}
[Upgrades Melee Attack/Prepare] |Halberd of Guan Yu| +1 Prepare. +2 Melee Attack. Your Melee Attack can hit enemies Range 2 away. When you Melee Attack and roll 2 or more {Dice:!}: You may spend them to attack all enemies within Range 2 instead of just your target.,{Gold:6;Gem:R;}
[Upgrades Move] | Phasing Boots | Move +3. You can move through players as long as you don't end your move in the same hex. When you do this; you deal 1 to them.,{Gold:7}
[Upgrades Discover/Use] | Freezing Tincure | +1 Use. :N Your Consumable items that effect enemies also Stun one of them. (Your choice if multiple.) Fragile (Item is returned to reserve after each use.),{Gold:3}
[Upgrades Move] | Rocket Boots | +1 Move :N {Gem:R} : +3 Move,{Gold:4}
[Upgrades Discover/Use] | Quick-Access Belt |When Crafted: you may pay {Gem:R}. If you do: draw 2 cards from the Consumable deck and keep them. :N +2 Use. :N Play with your Consumable cards revealed.,{Gold:6}
[Passive] | Pandora' s Box | When you buy this: You draw and must equip the top two cards from the Equipment deck. Then lose life equal to the total {Gold:1} cost -8. Fragile (Item is returned to reserve after each use.),{Gold:8}
[Passive] | Lava Hammer | {Gem:R} : Melee Attack +3. :N When you roll one or more {Dice:!} while attacking - inflict burn.,{Gold:4}
[Passive] | Mental Enhancement | +1 Discover. :N After you resolve the Use Action you may shift your Move Card to any Slot Level.,{Gold:4}
[Upgrades Craft/Mine] |Pickaxe| +1 Mine. :N When you roll 1 or more {Dice:!} you may spend one of them to gain {Gem:R}.,{Gold:5}
[Upgrades Melee Attack/Prepare] | Brawlers Gauntlets | You can move onto a hex with an enemy. Enemies you share a hex with can't Attack you. When an enemy attempts to leave a hex you share: Melee Attack them first.,{Gold:10}
[Upgrades Move] |Gadget Boots|+1 Move. +1 Use. :N Once per turn: you may Stun yourself to take an additional action. This additional action must be a Move or a Use. :N You may use this card as though it were a Use action card.,{Gold:10}
[Upgrades Melee Attack/Prepare] | Poison Dagger | +1 Prepare. :N You may pay {Gem:R} when you Attack to inflict poison instead of damage. (Decide before rolling dice.),{Gold:7}
[Passive] |Meditation Stance| +1 Prepare. :N When you roll one or more {Dice:Miss} you may reroll 1 die.,{Gold: 4}
[Upgrades Discover/Use] |Dangerous Chemicals|When you roll two or more {Dice:!} in a single roll during your turn - you may take a Use action using this card after finishing that action.,{Gold:6}
